"","Data.From","Diet","ID","Recovery.rate.percentage","Vol.per.well.ml","Minute","OD450","Insulin","Dil_Ins","Insulin_ng","Group"
"23","07.03.2019","Chow","1433",53.2,0.171428571428571,23,1.17,4.3031,21.5155,3.68837142857142,"20mM"
"24","07.03.2019","Chow","1433",53.2,0.171428571428571,24,1.323,4.7255,23.6275,4.05042857142856,"20mM"
"25","07.03.2019","Chow","1433",53.2,0.171428571428571,25,1.519,5.3013,26.5065,4.54397142857142,"20mM"
"26","07.03.2019","Chow","1433",53.2,0.171428571428571,26,1.385,4.9021,24.5105,4.20179999999999,"20mM"
"27","07.03.2019","Chow","1433",53.2,0.171428571428571,27,1.354,4.8133,24.0665,4.1256857142857,"20mM"
"28","07.03.2019","Chow","1433",53.2,0.171428571428571,28,1.422,5.0096,25.048,4.29394285714285,"20mM"
"29","07.03.2019","Chow","1433",53.2,0.171428571428571,29,1.188,4.3521,21.7605,3.73037142857142,"20mM"
"30","07.03.2019","Chow","1433",53.2,0.171428571428571,30,1.273,4.5857,22.9285,3.93059999999999,"20mM"
"31","07.03.2019","Chow","1433",53.2,0.171428571428571,31,1.32,4.717,23.585,4.04314285714285,"20mM"
"32","07.03.2019","Chow","1433",53.2,0.171428571428571,32,0.163,0.913,18.26,3.13028571428571,"20mM"
